Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
ngu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngo,syllable,regular,CV,syllable,40,767,0.0025700334,0.0002875794,13,3066,0.0009035307,0.0195167286,12,20,0.0002745367,0.0000191171,
ngaa,syllable,regular,CV,syllable,2,2,0.0001285017,0.0000143790,9,29,0.0006255213,0.0001846005,4,23,0.0000915122,0.0000219847,
ngei,syllable,impossible,CVV,syllable,2,15,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngeoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngoi,syllable,regular,CVV,syllable,30,156,0.0019275251,0.0002156846,35,137,0.0024325827,0.0008720782,9,20,0.0002059025,0.0000191171,
ngai,syllable,regular,CVV,syllable,4,10,0.0002570033,0.0000287579,12,26,0.0008340284,0.0001655039,10,45,0.0002287806,0.0000430135,
ngaai,syllable,regular,CVV,syllable,4,24,0.0002570033,0.0000287579,4,15,0.0002780095,0.0000954830,4,4,0.0000915122,0.0000038234,
ngiu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngeu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngou,syllable,regular,CVV,syllable,2,2,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,1,2,0.0000228781,0.0000019117,
ngau,syllable,regular,CVV,syllable,4,5,0.0002570033,0.0000287579,12,41,0.0008340284,0.0002609869,2,3,0.0000457561,0.0000028676,
ngaau,syllable,regular,CVV,syllable,5,16,0.0003212542,0.0000359474,4,20,0.0002780095,0.0001273107,1,5,0.0000228781,0.0000047793,
ngim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngam,syllable,colloquial,CVN,syllable,1,2,0.0000642508,0.0000071895,3,3,0.0002085071,0.0000190966,4,7,0.0000915122,0.0000066910,
ngap,syllable,colloquial,CVS,syllable,1,5,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngaam,syllable,regular,CVN,syllable,3,90,0.0001927525,0.0000215685,2,56,0.0001390047,0.0003564699,11,11,0.0002516587,0.0000105144,
ngaap,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,2,2,0.0000457561,0.0000019117,
ngin,syllable,impossible,CVN,syllable,2,4,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngit,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nget,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngyun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngyut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngeon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngeot,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngan,syllable,regular,CVN,syllable,4,11,0.0002570033,0.0000287579,17,31,0.0011815402,0.0001973316,6,10,0.0001372684,0.0000095586,
ngat,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
ngaan,syllable,regular,CVN,syllable,16,36,0.0010280134,0.0001150318,18,35,0.0012510425,0.0002227937,17,26,0.0003889270,0.0000248522,
