Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
HKCAC,syllable,###,###,###,15564,139092,0,0,0,0,0,0,0,0,0,0,
HKCAC,rime,###,###,###,15466,135065,0,0,0,0,0,0,0,0,0,0,
HKCAC,segment,###,###,###,34713,278229,0,0,0,0,0,0,0,0,0,0,
HKCAC,tone,###,###,###,15637,134769,0,0,0,0,0,0,0,0,0,0,counts for tone = counts for syllable.
HKCanCor,syllable,###,###,###,0,0,0,0,14388,157096,0,0,0,0,0,0,
HKCanCor,rime,###,###,###,0,0,0,0,14265,153085,0,0,0,0,0,0,
HKCanCor,segment,###,###,###,0,0,0,0,32165,312041,0,0,0,0,0,0,
HKCanCor,tone,###,###,###,0,0,0,0,14388,157096,0,0,0,0,0,0,counts for tone = counts for syllable.
IARPA,syllable,###,###,###,0,0,0,0,0,0,0,0,43710,1046183,0,0,
IARPA,rime,###,###,###,0,0,0,0,0,0,0,0,42998,1017490,0,0,
IARPA,segment,###,###,###,0,0,0,0,0,0,0,0,96322,2036029,0,0,
IARPA,tone,###,###,###,0,0,0,0,0,0,0,0,43710,1046183,0,0,counts for tone = counts for syllable.
∅,segment,###,###,onset,572,"13,560",0.0164779766,0.0487368319,353,12032,0.0109746619,0.0385590355,1702,136574,0.0176698989,0.0670786123,includes syllabic nasals
b,segment,###,###,onset,642,"3,091",0.0184945121,0.0111095536,680,3690,0.0211409918,0.0118253691,1890,26936,0.0196216856,0.0132296740,
p,segment,###,###,onset,210,956,0.0060496068,0.0034360185,259,1005,0.0080522307,0.0032207306,744,5725,0.0077240921,0.0028118460,
d,segment,###,###,onset,"1,217","11,459",0.0350589116,0.0411854983,1045,14254,0.0324887300,0.0456798946,3569,93996,0.0370528021,0.0461663365,
t,segment,###,###,onset,506,"2,911",0.0145766716,0.0104626045,545,3204,0.0169438831,0.0102678815,1700,25575,0.0176491352,0.0125612160,
g,segment,###,###,onset,"1,771","21,762",0.0510183505,0.0782161457,1310,21794,0.0407274988,0.0698433860,4094,138075,0.0425032703,0.0678158317,
k,segment,###,###,onset,279,"3,871",0.0080373347,0.0139129997,263,3769,0.0081765895,0.0120785410,829,27868,0.0086065489,0.0136874278,
gw,segment,###,###,onset,128,427,0.0036873794,0.0015347070,216,1734,0.0067153739,0.0055569621,404,2949,0.0041942651,0.0014484077,
kw,segment,###,###,onset,30,71,0.0008642295,0.0002551855,30,63,0.0009326908,0.0002018965,84,358,0.0008720749,0.0001758325,
f,segment,###,###,onset,685,"3,089",0.0197332411,0.0111023653,550,2620,0.0170993316,0.0083963325,2040,19786,0.0211789622,0.0097179362,
s,segment,###,###,onset,"1,928","8,852",0.0555411517,0.0318155189,1875,9579,0.0582931758,0.0306978891,5275,62558,0.0547642283,0.0307254956,
h,segment,###,###,onset,898,"12,541",0.0258692709,0.0450743812,873,18607,0.0271413027,0.0596299845,3140,111302,0.0325989909,0.0546662155,
z,segment,###,###,onset,"1,729","13,676",0.0498084291,0.0491537546,1463,13845,0.0454842220,0.0443691694,4262,79200,0.0442474201,0.0388992495,
c,segment,###,###,onset,785,"3,327",0.0226140063,0.0119577758,956,4047,0.0297217472,0.0129694495,2841,30649,0.0294948195,0.0150533219,
m,segment,###,###,onset,782,"5,917",0.0225275833,0.0212666544,696,6433,0.0216384269,0.0206158806,2081,63877,0.0216046178,0.0313733252,
n,segment,###,###,onset,95,296,0.0027367269,0.0010638718,269,7841,0.0083631276,0.0251281082,193,4179,0.0020036959,0.0020525248,
ng,segment,###,###,onset,176,"1,322",0.0050701466,0.0047514817,152,3515,0.0047256335,0.0112645454,105,207,0.0010900936,0.0001016685,
w,segment,###,###,onset,452,"4,329",0.0130210584,0.0155591258,427,5119,0.0132752992,0.0164048955,1387,32575,0.0143996179,0.0159992810,
l,segment,###,###,onset,"1,045","14,480",0.0301039956,0.0520434606,933,8210,0.0290066843,0.0263106451,3289,91535,0.0341458857,0.0449576111,
j,segment,###,###,onset,"1,634","13,155",0.0470717022,0.0472811964,1493,15735,0.0464169128,0.0504260658,4081,92259,0.0423683063,0.0453132053,
i,rime,###,###,rime,860,8629,0.0556058451,0.0638877577,835,9576,0.0585348756,0.0625534834,1783,60937,0.0414670450,0.0598895321,
e,rime,###,###,rime,271,10472,0.0175223070,0.0775330396,180,8080,0.0126182965,0.0527811347,620,37393,0.0144192753,0.0367502383,
yu,rime,###,###,rime,208,1526,0.0134488556,0.0112982638,238,1890,0.0166841921,0.0123460822,666,8710,0.0154890925,0.0085602807,
oe,rime,###,###,rime,3,3,0.0001939739,0.0000222115,4,8,0.0002804066,0.0000522585,5,13,0.0001162845,0.0000127765,
u,rime,###,###,rime,160,738,0.0103452735,0.0054640358,124,358,0.0086926043,0.0023385701,429,2020,0.0099772082,0.0019852775,
o,rime,###,###,rime,739,13622,0.0477822320,0.1008551438,445,14736,0.0311952331,0.0962602476,1440,116906,0.0334899298,0.1148964609,
aa,rime,###,###,rime,566,9776,0.0365964050,0.0723799652,620,15116,0.0434630214,0.0987425287,2549,138164,0.0592818271,0.1357890495,
ei,rime,###,###,rime,689,8380,0.0445493340,0.0620442009,652,8478,0.0457062741,0.0553809975,1674,62303,0.0389320434,0.0612320514,
eoi,rime,###,###,rime,386,4788,0.0249579723,0.0354495983,343,4861,0.0240448651,0.0317536009,1009,39844,0.0234662077,0.0391591072,
ui,rime,###,###,rime,175,1069,0.0113151429,0.0079147077,92,1090,0.0064493516,0.0071202273,293,3130,0.0068142704,0.0030761973,
oi,rime,###,###,rime,280,1597,0.0181042286,0.0118239366,250,1285,0.0175254118,0.0083940295,821,8803,0.0190939113,0.0086516821,
ai,rime,###,###,rime,598,10361,0.0386654597,0.0767112131,694,14765,0.0486505433,0.0964496848,1961,81225,0.0456067724,0.0798287944,
aai,rime,###,###,rime,384,2069,0.0248286564,0.0153185503,354,2853,0.0248159832,0.0186367051,1346,19739,0.0313037816,0.0193996993,
iu,rime,###,###,rime,325,1756,0.0210138368,0.0130011476,269,1839,0.0188573431,0.0120129340,925,14548,0.0215126285,0.0142979292,
eu,rime,###,###,rime,3,5,0.0001939739,0.0000370192,7,11,0.0004907115,0.0000718555,0,0,0.0000000000,0.0000000000,
ou,rime,###,###,rime,806,7921,0.0521143153,0.0586458372,749,9880,0.0525061339,0.0645393082,2540,72997,0.0590725150,0.0717422284,
au,rime,###,###,rime,720,6581,0.0465537308,0.0487246881,654,6801,0.0458464774,0.0444262991,2139,46936,0.0497464998,0.0461292003,
aau,rime,###,###,rime,171,600,0.0110565111,0.0044423056,151,873,0.0105853488,0.0057027142,594,5317,0.0138145960,0.0052256042,
im,rime,###,###,rime,158,774,0.0102159576,0.0057305742,150,1034,0.0105152471,0.0067544175,318,1612,0.0073956928,0.0015842908,
ip,rime,###,###,rime,52,182,0.0033622139,0.0013474994,68,239,0.0047669120,0.0015612242,193,1132,0.0044885809,0.0011125416,
em,rime,###,###,rime,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ep,rime,###,###,rime,0,0,0.0000000000,0.0000000000,1,4,0.0000701016,0.0000261293,0,0,0.0000000000,0.0000000000,
am,rime,###,###,rime,276,4671,0.0178455968,0.0345833488,271,5152,0.0189975464,0.0336545057,805,28418,0.0187218010,0.0279295128,
ap,rime,###,###,rime,210,550,0.0135781715,0.0040721134,194,639,0.0135997196,0.0041741516,421,4884,0.0097911531,0.0048000472,
aam,rime,###,###,rime,160,764,0.0103452735,0.0056565357,168,745,0.0117770768,0.0048665774,558,5832,0.0129773478,0.0057317517,
aap,rime,###,###,rime,70,167,0.0045260572,0.0012364417,85,209,0.0059586400,0.0013652546,234,1220,0.0054421136,0.0011990290,
in,rime,###,###,rime,619,3084,0.0400232769,0.0228334506,543,3262,0.0380651945,0.0213084234,1485,30736,0.0345364901,0.0302076679,
it,rime,###,###,rime,99,362,0.0064011380,0.0026801910,115,359,0.0080616894,0.0023451024,273,1802,0.0063491325,0.0017710248,
en,rime,###,###,rime,4,4,0.0002586318,0.0000296154,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
et,rime,###,###,rime,0,0,0.0000000000,0.0000000000,2,4,0.0001402033,0.0000261293,0,0,0.0000000000,0.0000000000,
yun,rime,###,###,rime,340,1326,0.0219837062,0.0098174953,297,1122,0.0208201893,0.0073292615,980,6689,0.0227917578,0.0065740204,
yut,rime,###,###,rime,70,307,0.0045260572,0.0022729797,73,315,0.0051174203,0.0020576804,236,1943,0.0054886274,0.0019096011,
eon,rime,###,###,rime,128,451,0.0082762188,0.0033391330,111,335,0.0077812829,0.0021883267,297,1791,0.0069072980,0.0017602139,
eot,rime,###,###,rime,80,449,0.0051726368,0.0033243253,73,452,0.0051174203,0.0029526080,196,3133,0.0045583516,0.0030791457,
an,rime,###,###,rime,686,4342,0.0443553601,0.0321474845,660,4956,0.0462670873,0.0323741712,1877,27250,0.0436531932,0.0267815900,
at,rime,###,###,rime,508,3625,0.0328462434,0.0268389294,426,4389,0.0298633018,0.0286703465,1033,23946,0.0240243732,0.0235343836,
aan,rime,###,###,rime,450,2478,0.0290960817,0.0183467219,456,3164,0.0319663512,0.0206682562,1487,22697,0.0345830039,0.0223068531,
aat,rime,###,###,rime,161,746,0.0104099315,0.0055232666,159,526,0.0111461619,0.0034359996,358,2640,0.0083259686,0.0025946201,
on,rime,###,###,rime,64,170,0.0041381094,0.0012586532,60,122,0.0042060988,0.0007969429,197,884,0.0045816084,0.0008688046,
ot,rime,###,###,rime,6,6,0.0003879478,0.0000444231,6,7,0.0004206099,0.0000457262,10,15,0.0002325690,0.0000147422,
un,rime,###,###,rime,150,578,0.0096986939,0.0042794210,134,652,0.0093936208,0.0042590718,455,3663,0.0105818875,0.0036000354,
ut,rime,###,###,rime,25,103,0.0016164490,0.0007625958,16,47,0.0011216264,0.0003070190,51,367,0.0011861017,0.0003606915,
ing,rime,###,###,rime,754,3480,0.0487521014,0.0257653722,700,2802,0.0490711532,0.0183035568,1866,18295,0.0433973673,0.0179805207,
ik,rime,###,###,rime,240,1004,0.0155179103,0.0074334580,263,3045,0.0184367333,0.0198909103,618,12602,0.0143727615,0.0123853797,
eng,rime,###,###,rime,115,592,0.0074356653,0.0043830748,123,1146,0.0086225026,0.0074860372,446,10251,0.0103725755,0.0100747919,
ek,rime,###,###,rime,37,233,0.0023923445,0.0017250953,51,407,0.0035751840,0.0026586537,129,767,0.0030001395,0.0007538158,
oeng,rime,###,###,rime,500,3008,0.0323289797,0.0222707585,407,2957,0.0285313705,0.0193160662,1258,16113,0.0292571748,0.0158360279,
oek,rime,###,###,rime,52,125,0.0033622139,0.0009254803,65,221,0.0045566071,0.0014436424,183,1412,0.0042560119,0.0013877286,
ang,rime,###,###,rime,152,1303,0.0098280098,0.0096472069,155,859,0.0108657553,0.0056112617,354,6149,0.0082329411,0.0060433026,
ak,rime,###,###,rime,147,1159,0.0095047200,0.0085810536,105,1601,0.0073606730,0.0104582422,500,9279,0.0116284478,0.0091194999,
aang,rime,###,###,rime,75,192,0.0048493470,0.0014215378,90,393,0.0063091483,0.0025672012,300,2407,0.0069770687,0.0023656252,
aak,rime,###,###,rime,164,1103,0.0106039053,0.0081664384,185,1860,0.0129688048,0.0121501127,428,4002,0.0099539513,0.0039332082,
ong,rime,###,###,rime,477,2637,0.0308418466,0.0195239329,342,1903,0.0239747634,0.0124310024,1473,14601,0.0342574073,0.0143500182,
ok,rime,###,###,rime,208,1389,0.0134488556,0.0102839374,203,1683,0.0142306344,0.0109938923,596,5995,0.0138611098,0.0058919498,
ung,rime,###,###,rime,630,3008,0.0407345144,0.0222707585,598,2962,0.0419207851,0.0193487278,1815,19633,0.0422112656,0.0192955213,
uk,rime,###,###,rime,255,800,0.0164877796,0.0059230741,249,1012,0.0174553102,0.0066107065,774,6345,0.0180008372,0.0062359335,
p,segment,###,###,coda,332,899,0.0095641402,0.0032311513,348,1091,0.0108192134,0.0034963354,848,7236,0.0088038039,0.0035539769,
t,segment,###,###,coda,949,"5,598",0.0273384611,0.0201201169,870,6099,0.0270480336,0.0195455084,2157,33846,0.0223936380,0.0166235353,
k,segment,###,###,coda,"1,103","5,813",0.0317748394,0.0208928616,1121,9829,0.0348515467,0.0314990658,3228,40402,0.0335125932,0.0198435288,
m,segment,###,###,coda,594,"6,209",0.0171117449,0.0223161496,589,6931,0.0183118296,0.0222118247,1681,35862,0.0174518802,0.0176136980,
n,segment,###,###,coda,"2,441","12,433",0.0703194769,0.0446862117,2261,13613,0.0702937976,0.0436256774,6778,93710,0.0703681402,0.0460258670,
ng,segment,###,###,coda,"2,703","14,220",0.0778670815,0.0511089786,2415,13022,0.0750816104,0.0417316955,7512,87449,0.0779884139,0.0429507635,
i,segment,###,###,nucleus,2782,"17,515",0.0801428860,0.0629517412,2674,20317,0.0831338411,0.0651100336,6536,127116,0.0678557339,0.0624332954,
e,segment,###,###,nucleus,427,"11,301",0.0123008671,0.0406176207,357,9641,0.0110990207,0.0308965809,1195,48411,0.0124063039,0.0237771662,
yu,segment,###,###,nucleus,618,"3,159",0.0178031285,0.0113539566,608,3327,0.0189025338,0.0106620604,1882,17342,0.0195386308,0.0085175604,
oe,segment,###,###,nucleus,763,"4,036",0.0219802380,0.0145060364,660,3973,0.0205191979,0.0127323012,1939,22462,0.0201303960,0.0110322594,
u,segment,###,###,nucleus,1220,"5,227",0.0351453346,0.0187866829,1121,5031,0.0348515467,0.0161228813,3524,32028,0.0365856191,0.0157306207,
o,segment,###,###,nucleus,1494,"17,824",0.0430386311,0.0640623371,1056,18451,0.0328307166,0.0591300502,3716,138401,0.0385789332,0.0679759473,
aa,segment,###,###,nucleus,1646,"15,226",0.0474173941,0.0547247052,1763,22013,0.0548111301,0.0705452168,5914,176962,0.0613982268,0.0869152650,
a,segment,###,###,nucleus,1979,"15,650",0.0570103419,0.0562486297,1811,17596,0.0563034354,0.0563900257,4990,99926,0.0518054027,0.0490788687,
m,segment,###,###,nucleus,85,"4,008",0.0024486504,0.0144053999,76,3850,0.0023628167,0.0123381222,702,28663,0.0072880547,0.0140778938,
ng,segment,###,###,nucleus,13,19,0.0003744995,0.0000682891,47,161,0.0014612156,0.0005159578,10,30,0.0001038184,0.0000147346,
1,tone,###,###,tone,3882,30471,0.2482573384,0.2260979899,3683,36607,0.2559772032,0.2330231196,11850,309659,0.2711050103,0.2959893250,
2,tone,###,###,tone,2204,21929,0.1409477521,0.1627154613,2293,26184,0.1593689185,0.1666751540,6815,139562,0.1559139785,0.1334011354,
3,tone,###,###,tone,2995,21811,0.1915329027,0.1618398890,2282,27262,0.1586043925,0.1735372002,6862,169386,0.1569892473,0.1619085762,
4,tone,###,###,tone,2303,17012,0.1472788898,0.1262308098,2455,16575,0.1706283014,0.1055087335,7921,99930,0.1812171128,0.0955186616,
5,tone,###,###,tone,952,15606,0.0608812432,0.1157981435,783,17919,0.0544203503,0.1140640118,2503,136688,0.0572637840,0.1306540060,
6,tone,###,###,tone,3301,27940,0.2111018738,0.2073177066,2892,32549,0.2010008340,0.2071917808,7759,190958,0.1775108671,0.1825282957,
i,syllable,impossible,CV,syllable,15,25,0.0009637625,0.0001078423,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
e,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,2,818,0.0001390047,0.0052070072,1,388,0.0000228781,0.0003708720,
yu,syllable,impossible,CV,syllable,1,2,0.0000642508,0.0000071895,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
oe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
u,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
o,syllable,regular,CV,syllable,105,3376,0.0067463377,0.0007548960,8,435,0.0005560189,0.0027690075,45,35274,0.0010295127,0.0337168545,
aa,syllable,regular,CV,syllable,73,3241,0.0046903110,0.0005248325,86,5968,0.0059772032,0.0379895096,402,62981,0.0091969801,0.0602007488,
ei,syllable,regular,CVV,syllable,2,7,0.0001285017,0.0000143790,5,38,0.0003475118,0.0002418903,0,0,0.0000000000,0.0000000000,
eoi,syllable,impossible,CVV,syllable,9,13,0.0005782575,0.0000647054,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ui,syllable,impossible,CVV,syllable,1,3,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
oi,syllable,regular,CVV,syllable,11,33,0.0007067592,0.0000790843,7,21,0.0004865165,0.0001336762,84,518,0.0019217570,0.0004951333,
ai,syllable,regular,CVV,syllable,13,1092,0.0008352609,0.0000934633,6,59,0.0004170142,0.0003755665,18,37,0.0004118051,0.0000353667,
aai,syllable,regular,CVV,syllable,4,5,0.0002570033,0.0000287579,10,193,0.0006950236,0.0012285481,36,3741,0.0008236102,0.0035758562,
iu,syllable,impossible,CVV,syllable,5,5,0.0003212542,0.0000359474,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
eu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,4,8,0.0002780095,0.0000509243,0,0,0.0000000000,0.0000000000,
ou,syllable,regular,CVV,syllable,20,36,0.0012850167,0.0001437897,10,37,0.0006950236,0.0002355248,22,178,0.0005033173,0.0001701423,
au,syllable,regular,CVV,syllable,13,52,0.0008352609,0.0000934633,9,33,0.0006255213,0.0002100626,73,211,0.0016700984,0.0002016856,
aau,syllable,regular,CVV,syllable,2,3,0.0001285017,0.0000143790,2,3,0.0001390047,0.0000190966,7,22,0.0001601464,0.0000210288,
im,syllable,impossible,CVN,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
em,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ep,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
am,syllable,regular,CVN,syllable,9,19,0.0005782575,0.0000647054,4,6,0.0002780095,0.0000381932,15,42,0.0003431709,0.0000401459,
ap,syllable,colloquial,CVS,syllable,6,6,0.0003855050,0.0000431369,1,11,0.0000695024,0.0000700209,2,2,0.0000457561,0.0000019117,
aam,syllable,regular,CVN,syllable,2,70,0.0001285017,0.0000143790,9,112,0.0006255213,0.0007129399,16,1615,0.0003660490,0.0015437070,
aap,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,4,9,0.0002780095,0.0000572898,12,29,0.0002745367,0.0000277198,
in,syllable,loan,CVN,syllable,9,13,0.0005782575,0.0000647054,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
it,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
en,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
et,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,2,4,0.0001390047,0.0000254621,0,0,0.0000000000,0.0000000000,
yun,syllable,impossible,CVN,syllable,2,6,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
yut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
eon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
eot,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
an,syllable,colloquial,CVN,syllable,34,240,0.0021845284,0.0002444425,1,1,0.0000695024,0.0000063655,33,205,0.0007549760,0.0001959504,
at,syllable,colloquial,CVS,syllable,78,956,0.0050115652,0.0005607799,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
aan,syllable,regular,CVN,syllable,11,20,0.0007067592,0.0000790843,2,5,0.0001390047,0.0000318277,48,415,0.0010981469,0.0003966801,
aat,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,4,14,0.0002780095,0.0000891175,13,75,0.0002974148,0.0000716892,
on,syllable,regular,CVN,syllable,12,26,0.0007710100,0.0000862738,29,55,0.0020155685,0.0003501044,79,425,0.0018073667,0.0004062387,
ot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
un,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ut,syllable,impossible,CVS,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ing,syllable,loan,CVN,syllable,3,175,0.0001927525,0.0000215685,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ik,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,1,2,0.0000695024,0.0000127311,0,0,0.0000000000,0.0000000000,
eng,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ek,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,0,0,0.0000000000,0.0000000000,
oeng,syllable,impossible,CVN,syllable,3,3,0.0001927525,0.0000215685,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
oek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,2,12,0.0000457561,0.0000114703,
ak,syllable,regular,CVS,syllable,10,13,0.0006425084,0.0000718949,0,0,0.0000000000,0.0000000000,3,3,0.0000686342,0.0000028676,
aang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,16,72,0.0003660490,0.0000688216,
aak,syllable,regular,CVS,syllable,5,5,0.0003212542,0.0000359474,5,59,0.0003475118,0.0003755665,20,246,0.0004575612,0.0002351405,
ong,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,4,6,0.0000915122,0.0000057351,
ok,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,7,18,0.0004865165,0.0001145796,12,51,0.0002745367,0.0000487486,
ung,syllable,regular,CVN,syllable,1,2,0.0000642508,0.0000071895,2,4,0.0001390047,0.0000254621,1,3,0.0000228781,0.0000028676,
uk,syllable,regular,CVS,syllable,10,81,0.0006425084,0.0000718949,7,105,0.0004865165,0.0006683811,26,1330,0.0005948296,0.0012712881,
bi,syllable,colloquial,CV,syllable,2,2,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
be,syllable,colloquial,CV,syllable,2,3,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,3,31,0.0000686342,0.0000296315,
byu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
boe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bu,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bo,syllable,regular,CV,syllable,19,48,0.0012207659,0.0001366002,18,54,0.0012510425,0.0003437389,57,335,0.0013040494,0.0003202117,
baa,syllable,regular,CV,syllable,14,84,0.0008995117,0.0001006528,26,85,0.0018070614,0.0005410704,59,551,0.0013498055,0.0005266765,
bei,syllable,regular,CVV,syllable,40,521,0.0025700334,0.0002875794,38,622,0.0026410898,0.0039593624,108,4375,0.0024708305,0.0041818688,
beoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bui,syllable,regular,CVV,syllable,14,23,0.0008995117,0.0001006528,13,39,0.0009035307,0.0002482558,33,146,0.0007549760,0.0001395549,
boi,syllable,loan,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bai,syllable,regular,CVV,syllable,6,8,0.0003855050,0.0000431369,12,23,0.0008340284,0.0001464073,20,84,0.0004575612,0.0000802919,
baai,syllable,regular,CVV,syllable,17,135,0.0010922642,0.0001222213,16,122,0.0011120378,0.0007765952,41,517,0.0009380005,0.0004941774,
biu,syllable,regular,CVV,syllable,24,114,0.0015420200,0.0001725477,20,43,0.0013900473,0.0002737180,66,241,0.0015099520,0.0002303612,
beu,syllable,colloquial,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bou,syllable,regular,CVV,syllable,90,347,0.0057825752,0.0006470537,81,286,0.0056296914,0.0018205429,316,3131,0.0072294669,0.0029927842,
bau,syllable,colloquial,CVV,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
baau,syllable,regular,CVV,syllable,12,58,0.0007710100,0.0000862738,19,47,0.0013205449,0.0002991801,106,522,0.0024250744,0.0004989567,
bim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bam,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,5,16,0.0001143903,0.0000152937,
bap,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
baam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
baap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bin,syllable,regular,CVN,syllable,74,549,0.0047545618,0.0005320220,58,618,0.0040311371,0.0039339003,126,6751,0.0028826356,0.0064529819,
bit,syllable,regular,CVS,syllable,19,112,0.0012207659,0.0001366002,13,99,0.0009035307,0.0006301879,26,200,0.0005948296,0.0001911711,
