OrthographicRepresentationTraditional,OrthographicRepresentationSimplified,PhonologicalRepresentationJyutping,NumberOfSyllables,PartOfSpeech,HKCACFrequency,HKCACProbability,HKCanCorFrequency,HKCanCorProbability,IARPAFrequency,IARPAProbability,TotalFrequency,TotalProbability,HKFrequency,HKProbability,,,,,,
而家,而家,ji4gaa1,2,T,335,0.0033698484,384,0.0032006135,0,0.0000000000,719,0.0006846752,719,0.0032772987,,,,,,
可能,可能,ho2nang4,2,"VU, V, VN, N",314,0.0031586042,231,0.0019253690,1556,0.0018730176,2101,0.0020006990,545,0.0024841833,,,,,,
喀,喀,haak6,1,E,314,0.0031586042,694,0.0057844420,0,0.0000000000,1008,0.0009598784,1008,0.0045945995,,,,,,
嗰啲,嗰啲,go2di1,2,"R, Q",310,0.0031183672,794,0.0066179351,0,0.0000000000,1104,0.0010512954,1104,0.0050321804,,,,,,
度,度,dou6,1,"R, M, Q, F, M, D, F, V, N, S",296,0.0029775377,155,0.0012919143,2302,0.0027710067,2753,0.0026215727,451,0.0020557186,,,,,,
諗,谂,nam2,1,V,293,0.0029473600,326,0.0027171875,1168,0.0014059669,1787,0.0017016892,619,0.0028214852,,,,,,
睇,睇,tai2,1,V,275,0.0027662935,539,0.0044925277,3261,0.0039253923,4075,0.0038804609,814,0.0037103214,,,,,,
一,一,jat1,1,"M, D, DG",274,0.0027562342,1099,0.0091600890,5544,0.0066735280,6917,0.0065867847,1373,0.0062583186,,,,,,
都係,都系,dou1hai6,2,###,270,0.0027159972,0,0.0000000000,0,0.0000000000,270,0.0002571103,270,0.0012306963,,,,,,
真係,真系,zan1hai6,2,"D, C",269,0.0027059380,579,0.0048259250,1398,0.0016828269,2246,0.0021387767,848,0.0038652980,,,,,,
咩,咩,me1,1,"Y, R",266,0.0026757602,272,0.0022671012,8740,0.0105206772,9278,0.0088350714,538,0.0024522763,,,,,,
時候,时候,si4hau6,2,"N, T",256,0.0025751677,111,0.0009251773,396,0.0004766806,763,0.0007265746,367,0.0016728353,,,,,,
喎,㖞,wo3,1,"Y, Y1, U",251,0.0025248715,916,0.0076347967,1,0.0000012037,1168,0.0011122401,1167,0.0053193429,,,,,,
好多,好多,hou2do1,2,M,244,0.0024544568,240,0.0020003834,0,0.0000000000,484,0.0004608940,484,0.0022061371,,,,,,
香港,香港,hoeng1gong2,2,NS,239,0.0024041605,145,0.0012085650,260,0.0003129721,644,0.0006132557,384,0.0017503236,,,,,,
得,得,dak1,1,"U, V, VU, D, A, G2",227,0.0022834495,515,0.0042924894,4486,0.0053999723,5228,0.0049784170,742,0.0033821358,,,,,,
嗱,嗱,laa4,1,"Y, E, U, C",222,0.0022331533,89,0.0007418088,444,0.0005344600,755,0.0007189566,311,0.0014175798,,,,,,
聽,听,teng1,1,V,215,0.0021627385,170,0.0014169382,1595,0.0019199634,1980,0.0018854755,385,0.0017548818,,,,,,
問題,问题,man6tai4,2,N,210,0.0021124423,71,0.0005917801,561,0.0006752975,842,0.0008018032,281,0.0012808358,,,,,,
同埋,同埋,tung4maai4,2,C,200,0.0020118498,256,0.0021337423,410,0.0004935329,866,0.0008246574,456,0.0020785093,,,,,,
知,知,zi1,1,"V, G1",189,0.0019011981,568,0.0047342407,3333,0.0040120615,4090,0.0038947448,757,0.0034505078,,,,,,
想,想,soeng2,1,"VU, V",189,0.0019011981,231,0.0019253690,1590,0.0019139447,2010,0.0019140433,420,0.0019144165,,,,,,
好似,好似,hou2ci5,2,"V, D",186,0.0018710203,316,0.0026338382,2011,0.0024207188,2513,0.0023930302,502,0.0022881835,,,,,,
政府,政府,zing3fu2,2,N,183,0.0018408426,17,0.0001416938,16,0.0000192598,216,0.0002056882,200,0.0009116269,,,,,,
裏面,里面,leoi5min6,2,F,181,0.0018207241,14,0.0001166890,0,0.0000000000,195,0.0001856908,195,0.0008888362,,,,,,
或者,或者,waak6ze2,2,C,179,0.0018006056,173,0.0014419430,446,0.0005368675,798,0.0007599037,352,0.0016044633,,,,,,
有啲,有啲,jau5di1,2,"R, V, D, M",173,0.0017402501,94,0.0007834835,377,0.0004538095,644,0.0006132557,267,0.0012170219,,,,,,
對,对,deoi3,1,"P, Q, V, A",172,0.0017301908,97,0.0008084883,283,0.0003406581,552,0.0005256477,269,0.0012261382,,,,,,
樣,样,joeng2,1,"N, Q, N, Q",170,0.0017100723,102,0.0008501629,705,0.0008486359,977,0.0009303583,272,0.0012398126,,,,,,
已經,已经,ji5ging1,2,D,168,0.0016899538,185,0.0015419622,451,0.0005428862,804,0.0007656173,353,0.0016090215,,,,,,
大家,大家,daai6gaa1,2,R,168,0.0016899538,62,0.0005167657,0,0.0000000000,230,0.0002190199,230,0.0010483709,,,,,,
所以,所以,so2ji5,2,C,162,0.0016295983,217,0.0018086800,825,0.0009930845,1204,0.0011465214,379,0.0017275330,,,,,,
哦,哦,o3,1,"E, E, E",158,0.0015893613,430,0.0035840203,8411,0.0101246472,8999,0.0085693907,588,0.0026801831,,,,,,
佢哋,佢哋,keoi5dei6,2,R,158,0.0015893613,274,0.0022837711,1007,0.0012121650,1439,0.0013703026,432,0.0019691141,,,,,,
之後,之后,zi1hau6,2,"F, N, T",156,0.0015692428,95,0.0007918184,660,0.0007944676,911,0.0008675092,251,0.0011440917,,,,,,
番,番,faan1,1,Q,155,0.0015591836,4,0.0000333397,491,0.0005910358,650,0.0006189692,159,0.0007247434,,,,,,
